speech_id,line_id,sentence_id,sentence_text,anger
S040,0,0,So thank you.,0.0
S040,0,1,"And Tonya Pendleton, I want to thank you for being the moderator of this discussion and then in his absence, but he sends his best, Senator Bob Casey.",0.0
S040,0,2,I want to thank him for all he does.,0.0
S040,0,3,"So this is intended to be a discussion about student loan debt, but really it is, from my perspective, a discussion about who are our public servants and what we as a society and as a country owe them for the gift that they possess and then give to so many people, often without the praise on a daily basis that they deserve, but their value to the strength of our country, their value to our well-being is immeasurable.",0.0
S040,1,0,And who are our public servants?,0.0
S040,1,1,"They are teachers, they are nurses, they’re firefighters, they’re police officers, they’re librarians, they’re bus drivers, and social workers.",0.0
S040,1,2,"They are people who have dedicated themselves to serving the public, often serving on behalf of people that they otherwise had never met and would otherwise have no obligation to other than the fact that they care and they understand the strength and the importance of lifting up other people and by extension, all of us.",0.0
S040,2,0,Our public servants then do some of the most noble and selfless work that anyone can do.,0.0
S040,2,1,"I think about our teachers, our teachers who have the calling to teach other people’s children and to do that work often without the resources they need.",0.0
S040,2,2,"Most of the teachers, public school teachers I have met over the years come out of their own pocket to help pay for school supplies.",0.0
S040,2,3,We don’t pay our teachers nearly what they deserve in terms of the value that they give to society as a whole.,0.045454545454545456
S040,2,4,"And I will say that also as a proud public school, former public school student.",0.0
S040,2,5,"My first grade teacher, Mrs.",0.0
S040,2,6,"Frances Wilson, God rest her, attended my law school graduation, wouldn’t be here except for the strength of our teachers.",0.0
S040,2,7,"And, of course, the family in which I was raised.",0.0
S040,3,0,"School nurses, nurses office.",0.0
S040,3,1,Many of us had the good fortune of attending schools where there was a school nurse.,0.0
S040,3,2,"But sadly, we have not supported our nurses enough so that we can have enough of them in the pipeline to serve all of the schools that need a school nurse.",0.0
S040,3,3,"But our school nurses are, they are leaders.",0.0
S040,3,4,They are known by the students.,0.0
S040,3,5,They are known as the people who care for the students.,0.0
S040,3,6,"Often, the nurse’s office is an oasis of comfort and sanctity for so many students.",0.0
S040,3,7,"Our social workers who help children in foster care, children who have, through no fault of their own, been in circumstances where they need the support and they need the encouragement of a social worker to help them know that they are special and important.",0.0
S040,3,8,"This is who our public servants are, and yet many are silently struggling with student loan debt.",0.0
S040,4,0,"God knows we don’t pay them enough in the first place, but so many of them nonetheless, will choose to stay in these important roles because it is a calling for them.",0.0
S040,4,1,"Whereas they could potentially opt into a different profession with their skills that would pay them more, but they stay where they are because they care.",0.0
S040,4,2,"And we as a society and a country should reciprocate that care by alleviating the burden that so many of them are caring with this enormous debt that prevents them from being able to get through the month stress-free, prevents them, in many cases, from being able to buy a home or even start a family.",0.0
S040,4,3,"And so the work that President Biden and I have been doing throughout the last three years has been to address one of the big issues facing not only our public servants, but many people who carry student loan debt, which is, what can we do to relieve some of the burden?",0.0
S040,5,0,"Because we do believe not only for public service, but most people should not have to carry this kind of worry.",0.0
S040,5,1,"And so far then we have forgiven, on average, $70,000 of student loan debt for over 850,000 public servants.",0.0
S040,5,2,"And for folks in general, we have forgiven over $144 billion for over four million people.",0.0
S040,5,3,"And that means, of course, for those individuals who have received this for forgiveness, that’s more money in their pocket to pay for things like child care, more money in their pocket to get through the month in terms of rent or mortgage.",0.046511627906976744
S040,5,4,"And so today then building on the work that we’ve done thus far, I’m announcing a new plan to forgive more loans for 25 million more Americans, including millions of our public servants.",0.0
S040,5,5,"And that means, for example, if you’ve paid undergrad loans for 20-plus years or graduate loans for 25 or more years, your loans will be completely forgiven regardless of your income and even if you did not graduate.",0.0
S040,6,0,So I’m going to repeat that.,0.0
S040,6,1,"If you’ve paid undergraduate loans for more than 20 years or graduate loans for more than 25 years, those loans will be completely forgiven regardless of your income and even if you did not graduate.",0.0
S040,6,2,And forgiveness will be automatic for the vast majority of the 25 million people that we believe will benefit from this approach.,0.0
S040,6,3,"And to see if you could be eligible, I would urge everyone to go to studentaid.gov.",0.0
S040,6,4,That’s studentaid.gov.,0.0
S040,6,5,And I’ll close with this.,0.0
S040,7,0,The president and I continue to do and will do much more to build on this work.,0.0
S040,7,1,"Again, understanding that we want to create incentives for people to acquire the kinds of skills, like the professionals at this table, to do the work that they do that benefits so many others and benefits all of us as a nation.",0.0
S040,7,2,And so I thank the leaders who are at this table for being willing to tell your stories in a way that I think will inspire others to apply for the forgiveness and to do the work that we know can be done to honor our public servants and so many others.,0.0
S040,7,3,"And with that, I’m going to turn it over to Tonya Pendleton to moderate our conversation.",0.0
S040,8,0,Thank you.,0.0
S040,9,0,So thank you.,0.0
S040,9,1,"And Tonya Pendleton, I want to thank you for being the moderator of this discussion and then in his absence, but he sends his best, Senator Bob Casey.",0.0
S040,9,2,I want to thank him for all he does.,0.0
S040,9,3,"So this is intended to be a discussion about student loan debt, but really it is, from my perspective, a discussion about who are our public servants and what we as a society and as a country owe them for the gift that they possess and then give to so many people, often without the praise on a daily basis that they deserve, but their value to the strength of our country, their value to our well-being is immeasurable.",0.0
S040,10,0,And who are our public servants?,0.0
S040,10,1,"They are teachers, they are nurses, they’re firefighters, they’re police officers, they’re librarians, they’re bus drivers, and social workers.",0.0
S040,10,2,"They are people who have dedicated themselves to serving the public, often serving on behalf of people that they otherwise had never met and would otherwise have no obligation to other than the fact that they care and they understand the strength and the importance of lifting up other people and by extension, all of us.",0.0
S040,11,0,Our public servants then do some of the most noble and selfless work that anyone can do.,0.0
S040,11,1,"I think about our teachers, our teachers who have the calling to teach other people’s children and to do that work often without the resources they need.",0.0
S040,11,2,"Most of the teachers, public school teachers I have met over the years come out of their own pocket to help pay for school supplies.",0.0
S040,11,3,We don’t pay our teachers nearly what they deserve in terms of the value that they give to society as a whole.,0.045454545454545456
S040,11,4,"And I will say that also as a proud public school, former public school student.",0.0
S040,11,5,"My first grade teacher, Mrs.",0.0
S040,11,6,"Frances Wilson, God rest her, attended my law school graduation, wouldn’t be here except for the strength of our teachers.",0.0
S040,11,7,"And, of course, the family in which I was raised.",0.0
S040,12,0,"School nurses, nurses office.",0.0
S040,12,1,Many of us had the good fortune of attending schools where there was a school nurse.,0.0
S040,12,2,"But sadly, we have not supported our nurses enough so that we can have enough of them in the pipeline to serve all of the schools that need a school nurse.",0.0
S040,12,3,"But our school nurses are, they are leaders.",0.0
S040,12,4,They are known by the students.,0.0
S040,12,5,They are known as the people who care for the students.,0.0
S040,12,6,"Often, the nurse’s office is an oasis of comfort and sanctity for so many students.",0.0
S040,12,7,"Our social workers who help children in foster care, children who have, through no fault of their own, been in circumstances where they need the support and they need the encouragement of a social worker to help them know that they are special and important.",0.0
S040,12,8,"This is who our public servants are, and yet many are silently struggling with student loan debt.",0.0
S040,13,0,"God knows we don’t pay them enough in the first place, but so many of them nonetheless, will choose to stay in these important roles because it is a calling for them.",0.0
S040,13,1,"Whereas they could potentially opt into a different profession with their skills that would pay them more, but they stay where they are because they care.",0.0
S040,13,2,"And we as a society and a country should reciprocate that care by alleviating the burden that so many of them are caring with this enormous debt that prevents them from being able to get through the month stress-free, prevents them, in many cases, from being able to buy a home or even start a family.",0.0
S040,13,3,"And so the work that President Biden and I have been doing throughout the last three years has been to address one of the big issues facing not only our public servants, but many people who carry student loan debt, which is, what can we do to relieve some of the burden?",0.0
S040,14,0,"Because we do believe not only for public service, but most people should not have to carry this kind of worry.",0.0
S040,14,1,"And so far then we have forgiven, on average, $70,000 of student loan debt for over 850,000 public servants.",0.0
S040,14,2,"And for folks in general, we have forgiven over $144 billion for over four million people.",0.0
S040,14,3,"And that means, of course, for those individuals who have received this for forgiveness, that’s more money in their pocket to pay for things like child care, more money in their pocket to get through the month in terms of rent or mortgage.",0.046511627906976744
S040,14,4,"And so today then building on the work that we’ve done thus far, I’m announcing a new plan to forgive more loans for 25 million more Americans, including millions of our public servants.",0.0
S040,14,5,"And that means, for example, if you’ve paid undergrad loans for 20-plus years or graduate loans for 25 or more years, your loans will be completely forgiven regardless of your income and even if you did not graduate.",0.0
S040,15,0,So I’m going to repeat that.,0.0
S040,15,1,"If you’ve paid undergraduate loans for more than 20 years or graduate loans for more than 25 years, those loans will be completely forgiven regardless of your income and even if you did not graduate.",0.0
S040,15,2,And forgiveness will be automatic for the vast majority of the 25 million people that we believe will benefit from this approach.,0.0
S040,15,3,"And to see if you could be eligible, I would urge everyone to go to studentaid.gov.",0.0
S040,15,4,That’s studentaid.gov.,0.0
S040,15,5,And I’ll close with this.,0.0
S040,16,0,The president and I continue to do and will do much more to build on this work.,0.0
S040,16,1,"Again, understanding that we want to create incentives for people to acquire the kinds of skills, like the professionals at this table, to do the work that they do that benefits so many others and benefits all of us as a nation.",0.0
S040,16,2,And so I thank the leaders who are at this table for being willing to tell your stories in a way that I think will inspire others to apply for the forgiveness and to do the work that we know can be done to honor our public servants and so many others.,0.0
S040,16,3,"And with that, I’m going to turn it over to Tonya Pendleton to moderate our conversation.",0.0
S040,17,0,Thank you.,0.0
